City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Iracoubo,GF,76.03,moderate rain,5.4802,-53.2011,Le Gîte d’Iracoubo
5,Arzgir,RU,83.57,scattered clouds,45.3728,44.2206,
6,Luba,GQ,75.09,light rain,3.4568,8.5547,
7,Tecoanapa,MX,79.52,overcast clouds,16.5167,-98.75,Hotel Manglares
9,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
15,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
16,Butaritari,KI,82.04,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
18,Terrace,CA,75.11,few clouds,54.5163,-128.6035,Northern Motor Inn
21,Dharan,NP,88.74,scattered clouds,26.8125,87.2835,Hotel Kanchanjunga
24,Cockburn Town,TC,82.71,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
25,Guangyuan,CN,87.82,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
32,Nakhon Thai,TH,84.76,broken clouds,17.1006,100.8374,อี๊ฟกะแอมป์รีสอร์ท EVEKAAMP Resort
34,Hithadhoo,MV,81.91,overcast clouds,-0.6,73.0833,Scoop Guest House
35,Kavaratti,IN,81.43,scattered clouds,10.5669,72.642,Green leaf
37,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
38,Phalodi,IN,82.72,broken clouds,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
41,Atuona,PF,77.38,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
42,Banda Aceh,ID,86.07,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
52,Boyolangu,ID,79.23,broken clouds,-8.1181,111.8935,Yos ega cv
58,Mount Isa,AU,82.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
59,Meulaboh,ID,84.74,overcast clouds,4.1363,96.1285,Kost Pria
61,Guanica,PR,79.92,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
64,Muli,MV,81.73,broken clouds,2.9167,73.5667,Medhufushi Island Resort
67,Sao Filipe,CV,78.01,broken clouds,14.8961,-24.4956,Hotel Xaguate
68,Marsa Matruh,EG,77.2,scattered clouds,31.3525,27.2453,Beau Site
69,Tahta,EG,79.57,clear sky,26.7693,31.5021,فندق الزيات
78,Bengkulu,ID,85.53,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
83,Agadez,NE,84.51,clear sky,19.75,10.25,
86,Safaga,EG,85.93,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
95,Weligama,LK,84.13,broken clouds,5.9667,80.4167,Weligama Bay Resort
102,Bonfim,BR,76.46,clear sky,3.0833,-59.95,
104,Kawalu,ID,78.4,broken clouds,-7.3817,108.2082,West Jontor
108,Ishigaki,JP,89.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
117,Kinchil,MX,80.06,broken clouds,20.9167,-89.95,Club de nutricion herbalife kinchil
118,Kitimat,CA,75.58,clear sky,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
128,Itarema,BR,77.49,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
132,Vostok,RU,78.48,broken clouds,46.4856,135.8833,
134,Labuhan,ID,86.52,few clouds,-6.8844,112.2051,DoubleFAG
135,Alta Floresta,BR,75.4,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
137,Naze,JP,85.12,overcast clouds,28.3667,129.4833,Shishime Hotel
138,Hamada,JP,79.52,scattered clouds,34.8833,132.0833,Shimane Hamada Washington Hotel Plaza
147,Ambon,ID,86.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
150,Siena,IT,76.51,broken clouds,43.2167,11.4,More Di Cuna
152,Norman Wells,CA,77.04,broken clouds,65.282,-126.8329,Heritage Hotel
153,Korla,CN,78.6,clear sky,41.7597,86.1469,Gulisitan Hotel
154,Luganville,VU,80.26,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
155,Sadovoye,RU,84.06,overcast clouds,47.7764,44.5089,Putnik
156,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
157,Viransehir,TR,88.79,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
162,Messina,IT,86.92,clear sky,38.1933,15.5497,Hotel Touring
171,Katsuura,JP,80.62,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
174,Lorengau,PG,83.64,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
179,Kulhudhuffushi,MV,81.5,broken clouds,6.6221,73.07,Haajy Guest House 1
180,Morant Bay,JM,83.82,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
181,San Matias,BO,83.71,few clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
